Site Name ,OUTSIDE2211
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4608


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

136,22/11/2018 , 12:16:00,2920,2920
137,22/11/2018 , 12:17:00,2881,2881
138,22/11/2018 , 12:18:00,2804,2804
139,22/11/2018 , 12:19:00,2697,2697
140,22/11/2018 , 12:20:00,2660,2660
141,22/11/2018 , 12:21:00,2651,2651
142,22/11/2018 , 12:22:00,2743,2743
143,22/11/2018 , 12:23:00,2724,2724
144,22/11/2018 , 12:24:00,2724,2724
145,22/11/2018 , 12:25:00,2584,2584
146,22/11/2018 , 12:26:00,1914,1914
147,22/11/2018 , 12:27:00,1596,1596
148,22/11/2018 , 12:28:00,1283,1283
149,22/11/2018 , 12:29:00,991,991
150,22/11/2018 , 12:30:00,1221,1221
151,22/11/2018 , 12:31:00,1992,1992
152,22/11/2018 , 12:32:00,2582,2582
153,22/11/2018 , 12:33:00,2336,2336
154,22/11/2018 , 12:34:00,2066,2066
155,22/11/2018 , 12:35:00,1646,1646
156,22/11/2018 , 12:36:00,1455,1455
157,22/11/2018 , 12:37:00,1715,1715
158,22/11/2018 , 12:38:00,1242,1242
159,22/11/2018 , 12:39:00,1019,1019
160,22/11/2018 , 12:40:00,688,688
161,22/11/2018 , 12:41:00,533,533
162,22/11/2018 , 12:42:00,634,634
163,22/11/2018 , 12:43:00,597,597
164,22/11/2018 , 12:44:00,563,563
165,22/11/2018 , 12:45:00,572,572
166,22/11/2018 , 12:46:00,641,641
167,22/11/2018 , 12:47:00,786,786
168,22/11/2018 , 12:48:00,769,769
169,22/11/2018 , 12:49:00,770,770
170,22/11/2018 , 12:50:00,506,506
171,22/11/2018 , 12:51:00,548,548
172,22/11/2018 , 12:52:00,530,530
173,22/11/2018 , 12:53:00,483,483
174,22/11/2018 , 12:54:00,447,447
175,22/11/2018 , 12:55:00,432,432
176,22/11/2018 , 12:56:00,452,452
177,22/11/2018 , 12:57:00,433,433
178,22/11/2018 , 12:58:00,418,418
179,22/11/2018 , 12:59:00,413,413
180,22/11/2018 , 13:00:00,404,404
181,22/11/2018 , 13:01:00,399,399
182,22/11/2018 , 13:02:00,407,407
183,22/11/2018 , 13:03:00,454,454
184,22/11/2018 , 13:04:00,434,434
185,22/11/2018 , 13:05:00,398,398
186,22/11/2018 , 13:06:00,397,397
187,22/11/2018 , 13:07:00,383,383
188,22/11/2018 , 13:08:00,395,395
189,22/11/2018 , 13:09:00,407,407
190,22/11/2018 , 13:10:00,401,401
191,22/11/2018 , 13:11:00,387,387
192,22/11/2018 , 13:12:00,370,370
193,22/11/2018 , 13:13:00,381,381
194,22/11/2018 , 13:14:00,388,388
195,22/11/2018 , 13:15:00,390,390
196,22/11/2018 , 13:16:00,401,401
197,22/11/2018 , 13:17:00,413,413
198,22/11/2018 , 13:18:00,457,457
199,22/11/2018 , 13:19:00,498,498
200,22/11/2018 , 13:20:00,508,508
201,22/11/2018 , 13:21:00,545,545
202,22/11/2018 , 13:22:00,709,709
203,22/11/2018 , 13:23:00,944,944
204,22/11/2018 , 13:24:00,1180,1180
205,22/11/2018 , 13:25:00,1195,1195
206,22/11/2018 , 13:26:00,968,968
207,22/11/2018 , 13:27:00,787,787
208,22/11/2018 , 13:28:00,547,547
209,22/11/2018 , 13:29:00,521,521
210,22/11/2018 , 13:30:00,492,492
211,22/11/2018 , 13:31:00,418,418
212,22/11/2018 , 13:32:00,395,395
213,22/11/2018 , 13:33:00,383,383
214,22/11/2018 , 13:34:00,369,369
215,22/11/2018 , 13:35:00,370,370
216,22/11/2018 , 13:36:00,371,371
217,22/11/2018 , 13:37:00,374,374
218,22/11/2018 , 13:38:00,371,371
219,22/11/2018 , 13:39:00,334,334
220,22/11/2018 , 13:40:00,343,343
221,22/11/2018 , 13:41:00,346,346
222,22/11/2018 , 13:42:00,355,355
223,22/11/2018 , 13:43:00,358,358
224,22/11/2018 , 13:44:00,352,352
225,22/11/2018 , 13:45:00,363,363
226,22/11/2018 , 13:46:00,422,422
227,22/11/2018 , 13:47:00,500,500
228,22/11/2018 , 13:48:00,504,504
229,22/11/2018 , 13:49:00,557,557
230,22/11/2018 , 13:50:00,558,558
231,22/11/2018 , 13:51:00,477,477
232,22/11/2018 , 13:52:00,443,443
233,22/11/2018 , 13:53:00,2333,2333
234,22/11/2018 , 13:54:00,3195,3195
235,22/11/2018 , 13:55:00,3252,3252
236,22/11/2018 , 13:56:00,3281,3281
237,22/11/2018 , 13:57:00,3249,3249
238,22/11/2018 , 13:58:00,3181,3181
239,22/11/2018 , 13:59:00,3202,3202
240,22/11/2018 , 14:00:00,3153,3153
241,22/11/2018 , 14:01:00,3208,3208
242,22/11/2018 , 14:02:00,3240,3240
243,22/11/2018 , 14:03:00,3273,3273
244,22/11/2018 , 14:04:00,3014,3014
245,22/11/2018 , 14:05:00,3233,3233
246,22/11/2018 , 14:06:00,1778,1778
247,22/11/2018 , 14:07:00,2837,2837
248,22/11/2018 , 14:08:00,2976,2976
249,22/11/2018 , 14:09:00,3085,3085
250,22/11/2018 , 14:10:00,3255,3255
251,22/11/2018 , 14:11:00,2762,2762
252,22/11/2018 , 14:12:00,3190,3190
253,22/11/2018 , 14:13:00,3063,3063
254,22/11/2018 , 14:14:00,3082,3082
255,22/11/2018 , 14:15:00,3276,3276
256,22/11/2018 , 14:16:00,2817,2817
257,22/11/2018 , 14:17:00,2564,2564
258,22/11/2018 , 14:18:00,1928,1928
259,22/11/2018 , 14:19:00,1173,1173
260,22/11/2018 , 14:20:00,2677,2677
261,22/11/2018 , 14:21:00,1058,1058
