Site Name ,OUTSIDE
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,4607


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,21/11/2018 , 14:46:48,7542,7542
2,21/11/2018 , 14:56:48,25834,25834
3,21/11/2018 , 15:06:48,23028,23028
4,21/11/2018 , 15:16:48,27219,27219
5,21/11/2018 , 15:26:48,30470,30470
6,21/11/2018 , 15:36:48,22697,22697
7,21/11/2018 , 15:46:48,24484,24484
8,21/11/2018 , 15:56:48,24943,24943
9,21/11/2018 , 16:06:48,28630,28630
10,21/11/2018 , 16:16:48,25481,25481
11,21/11/2018 , 16:26:48,31422,31422
12,21/11/2018 , 16:36:48,24048,24048
13,21/11/2018 , 16:46:48,25278,25278
14,21/11/2018 , 16:56:48,26918,26918
15,21/11/2018 , 17:06:48,16331,16331
16,21/11/2018 , 17:16:48,19840,19840
17,21/11/2018 , 17:26:48,24759,24759
18,21/11/2018 , 17:36:48,15006,15006
19,21/11/2018 , 17:46:48,11209,11209
20,21/11/2018 , 17:56:48,7327,7327
21,21/11/2018 , 18:06:48,6222,6222
22,21/11/2018 , 18:16:48,5746,5746
23,21/11/2018 , 18:26:48,6317,6317
24,21/11/2018 , 18:36:48,5672,5672
25,21/11/2018 , 18:46:48,4887,4887
26,21/11/2018 , 18:56:48,5892,5892
27,21/11/2018 , 19:06:48,4762,4762
28,21/11/2018 , 19:16:48,5017,5017
29,21/11/2018 , 19:26:48,4385,4385
30,21/11/2018 , 19:36:48,3591,3591
31,21/11/2018 , 19:46:48,2637,2637
32,21/11/2018 , 19:56:48,2178,2178
33,21/11/2018 , 20:06:48,1784,1784
34,21/11/2018 , 20:16:48,1729,1729
35,21/11/2018 , 20:26:48,2142,2142
36,21/11/2018 , 20:36:48,2141,2141
37,21/11/2018 , 20:46:48,2720,2720
38,21/11/2018 , 20:56:48,3236,3236
39,21/11/2018 , 21:06:48,1703,1703
40,21/11/2018 , 21:16:48,1151,1151
41,21/11/2018 , 21:26:48,1041,1041
42,21/11/2018 , 21:36:48,944,944
43,21/11/2018 , 21:46:48,879,879
44,21/11/2018 , 21:56:48,833,833
45,21/11/2018 , 22:06:48,741,741
46,21/11/2018 , 22:16:48,696,696
47,21/11/2018 , 22:26:48,592,592
48,21/11/2018 , 22:36:48,482,482
49,21/11/2018 , 22:46:48,311,311
50,21/11/2018 , 22:56:48,176,176
51,21/11/2018 , 23:06:48,83,83
52,21/11/2018 , 23:16:48,18,18
53,21/11/2018 , 23:26:48,2,2
54,21/11/2018 , 23:36:48,2,2
55,21/11/2018 , 23:46:48,4,4
56,21/11/2018 , 23:56:48,4,4
57,22/11/2018 , 00:06:48,4,4
58,22/11/2018 , 00:16:48,4,4
59,22/11/2018 , 00:26:48,4,4
60,22/11/2018 , 00:36:48,3,3
61,22/11/2018 , 00:46:48,4,4
62,22/11/2018 , 00:56:48,4,4
63,22/11/2018 , 01:06:48,4,4
64,22/11/2018 , 01:16:48,4,4
