Site Name ,EXPERIMENT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4607


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

148,27/11/2018 , 11:28:00,303,303
149,27/11/2018 , 11:29:00,212,212
150,27/11/2018 , 11:30:00,213,213
151,27/11/2018 , 11:31:00,516,516
152,27/11/2018 , 11:32:00,561,561
153,27/11/2018 , 11:33:00,368,368
154,27/11/2018 , 11:34:00,219,219
155,27/11/2018 , 11:35:00,223,223
156,27/11/2018 , 11:36:00,233,233
157,27/11/2018 , 11:37:00,537,537
158,27/11/2018 , 11:38:00,622,622
159,27/11/2018 , 11:39:00,371,371
160,27/11/2018 , 11:40:00,207,207
161,27/11/2018 , 11:41:00,206,206
162,27/11/2018 , 11:42:00,378,378
163,27/11/2018 , 11:43:00,525,525
164,27/11/2018 , 11:44:00,247,247
165,27/11/2018 , 11:45:00,186,186
166,27/11/2018 , 11:46:00,569,569
167,27/11/2018 , 11:47:00,421,421
168,27/11/2018 , 11:48:00,211,211
169,27/11/2018 , 11:49:00,559,559
170,27/11/2018 , 11:50:00,617,617
171,27/11/2018 , 11:51:00,531,531
172,27/11/2018 , 11:52:00,378,378
173,27/11/2018 , 11:53:00,606,606
174,27/11/2018 , 11:54:00,218,218
175,27/11/2018 , 11:55:00,180,180
176,27/11/2018 , 11:56:00,188,188
177,27/11/2018 , 11:57:00,235,235
178,27/11/2018 , 11:58:00,219,219
179,27/11/2018 , 11:59:00,259,259
180,27/11/2018 , 12:00:00,205,205
181,27/11/2018 , 12:01:00,196,196
182,27/11/2018 , 12:02:00,231,231
183,27/11/2018 , 12:03:00,200,200
184,27/11/2018 , 12:04:00,177,177
185,27/11/2018 , 12:05:00,156,156
186,27/11/2018 , 12:06:00,151,151
187,27/11/2018 , 12:07:00,153,153
188,27/11/2018 , 12:08:00,357,357
189,27/11/2018 , 12:09:00,639,639
190,27/11/2018 , 12:10:00,716,716
191,27/11/2018 , 12:11:00,733,733
192,27/11/2018 , 12:12:00,280,280
193,27/11/2018 , 12:13:00,239,239
194,27/11/2018 , 12:14:00,283,283
195,27/11/2018 , 12:15:00,220,220
196,27/11/2018 , 12:16:00,266,266
197,27/11/2018 , 12:17:00,582,582
198,27/11/2018 , 12:18:00,497,497
199,27/11/2018 , 12:19:00,310,310
200,27/11/2018 , 12:20:00,397,397
201,27/11/2018 , 12:21:00,729,729
202,27/11/2018 , 12:22:00,721,721
203,27/11/2018 , 12:23:00,522,522
204,27/11/2018 , 12:24:00,580,580
205,27/11/2018 , 12:25:00,792,792
206,27/11/2018 , 12:26:00,800,800
207,27/11/2018 , 12:27:00,418,418
208,27/11/2018 , 12:28:00,227,227
209,27/11/2018 , 12:29:00,235,235
210,27/11/2018 , 12:30:00,204,204
211,27/11/2018 , 12:31:00,217,217
212,27/11/2018 , 12:32:00,611,611
213,27/11/2018 , 12:33:00,423,423
214,27/11/2018 , 12:34:00,198,198
215,27/11/2018 , 12:35:00,347,347
