"","O1903027","O1903029","O1903032","O1903033","O1903035","O1903040","O1903047","O1903048","O1903050","O1903054","O1903056","O1903057","O1903059","O1903062","O1903063","O1903065","O1903066","O1903069","O1903071","O1903072","O1903075","O1903076","O1903078","O1903080"
"176_167.0703_5.8349_2282_2,3-dimethoxybenzaldehyde_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes","3.187331e+05","1.792615e+05","2.363201e+05","1.532122e+05","2.699415e+05","1.976889e+05","1.598640e+05","1.786793e+05","1.687785e+05","3.133291e+05","2.645801e+05","2.654539e+05","3.419851e+05","1.984361e+05","2.634319e+05","1.585235e+05","2.190038e+05","2.085411e+05","2.380942e+05","2.817491e+05","2.930379e+05","2.098257e+05","2.006307e+05","2.694167e+05"
"199_168.0907_3.6437_-1_N/A_NA_no matches_no matches_no matches_no matches","2.412157e+05","1.110449e+05","4.694099e+05","4.099161e+05","2.083569e+05","9.828520e+04","1.182230e+04","2.268256e+05","1.598392e+05","2.993881e+05","1.719035e+05","1.573071e+05","3.280936e+04","3.171358e+05","4.583074e+05","3.002159e+05","4.407463e+05","3.427466e+05","3.701511e+05","2.397069e+05","3.386345e+05","4.649780e+05","1.431486e+05","2.638971e+05"
"205_169.0859_7.2612_-1_DC2810000 - 30.0 eV_NCGC00380262-01!2,3,5,7-tetramethoxy-9,10-dihydrophenanthrene [IIN-based: Match]_Organic compounds_Benzenoids_Phenol ethers_Anisoles","3.226808e+05","2.019617e+05","2.636193e+05","4.293232e+05","1.661650e+05","2.856798e+05","2.140335e+05","1.516018e+05","1.784215e+05","1.719305e+05","2.112017e+05","3.035023e+05","3.850779e+05","3.741838e+05","2.979846e+05","3.985650e+05","1.936784e+05","4.661580e+05","1.619367e+05","4.305414e+05","1.799923e+05","4.294097e+05","1.316812e+05","2.906056e+05"
"215_169.1222_8.0867_32_N/A_OMEGA-HYDROXYDODECANOATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids","2.205430e+05","1.432821e+05","3.919748e+05","2.890218e+05","2.350928e+05","2.049206e+05","1.300813e+05","2.569959e+05","3.137080e+05","2.589574e+05","3.629151e+05","2.461104e+05","2.364470e+05","2.851001e+05","2.582174e+05","1.420869e+05","2.182090e+05","2.069619e+05","3.463177e+05","2.099714e+05","2.384016e+05","1.933663e+05","1.142465e+05","2.386170e+05"
"217_169.1223_8.3785_6004_Spectral Match to Jasmine lactone from NIST14_Zerumbone_Organic compounds_Organoheterocyclic compounds_Lactones_Delta valerolactones","1.154407e+05","1.345157e+05","3.294270e+05","1.997588e+05","2.872554e+05","2.879627e+05","1.645693e+05","1.938250e+05","2.133865e+05","2.333741e+05","1.999675e+05","2.326613e+05","1.908554e+05","1.648365e+05","3.146882e+05","2.180600e+05","1.979499e+05","2.671683e+05","1.980988e+05","2.296808e+05","2.616554e+05","2.071844e+05","2.135004e+05","1.424337e+05"
"307_175.0802_4.5378_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.530649e+03","0.000000e+00","2.787002e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.615303e+03","6.663801e+03","3.186394e+03"
"334_176.0318_1.0788_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.119222e+03","5.119867e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.719924e+03","1.873692e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.872144e+03","0.000000e+00","3.701495e+03"
"338_176.1433_3.8956_5799_N/A_3-methoxy-6-methyl-6,7-dihydro-5h-dibenzo[c,e]azepin-2-ol_no matches_no matches_no matches_no matches","2.450678e+05","1.807836e+05","2.158948e+05","1.560218e+05","2.179848e+05","2.324114e+05","1.154225e+05","1.587606e+05","1.006536e+05","4.597544e+05","3.646753e+05","2.943920e+05","1.521524e+05","2.079535e+05","1.115174e+05","1.079548e+05","3.171985e+05","4.435414e+05","3.567013e+05","4.711536e+05","1.795102e+05","6.136203e+05","2.665269e+05","3.506032e+05"
"351_177.091_8.0286_791_N/A_Spectral Match to Formestane from NIST14_Organic compounds_Organoheterocyclic compounds_Isobenzofurans_NA","1.440866e+05","2.011550e+05","2.137785e+05","1.816123e+05","3.173218e+05","2.442702e+05","1.195768e+05","1.877838e+05","1.204662e+05","1.919578e+05","1.855755e+05","1.476964e+05","1.915808e+05","1.491701e+05","2.025588e+05","2.160267e+05","1.945170e+05","2.705918e+05","1.899878e+05","1.534264e+05","1.149956e+05","1.315813e+05","1.966960e+05","8.339562e+04"
"352_177.091_8.9233_4276_(3E)-4-(4-methoxyphenyl)but-3-en-2-one_Pyrenocin A putative_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids","8.311617e+04","1.301655e+05","3.932099e+05","1.482439e+05","4.128209e+05","2.916990e+05","1.469752e+05","2.270443e+05","3.128506e+05","2.453087e+05","1.732244e+05","4.410154e+05","2.744905e+05","1.695679e+05","2.460515e+05","1.731624e+05","2.219454e+05","3.752416e+05","2.510606e+05","4.947620e+05","4.213043e+05","1.599701e+05","2.459357e+05","1.934894e+05"
